"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Belgium","Number","Robbery","27,986",""
"2004-01-01T00:00:00","Belgium","Number","Robbery","24,240",""
"2005-01-01T00:00:00","Belgium","Number","Robbery","23,995",""
"2006-01-01T00:00:00","Belgium","Number","Robbery","22,820",""
"2007-01-01T00:00:00","Belgium","Number","Robbery","21,186",""
"2008-01-01T00:00:00","Belgium","Number","Robbery","22,873",""
"2009-01-01T00:00:00","Belgium","Number","Robbery","23,582",""
"2010-01-01T00:00:00","Belgium","Number","Robbery","23,842",""
"2011-01-01T00:00:00","Belgium","Number","Robbery","27,327",""
"2012-01-01T00:00:00","Belgium","Number","Robbery","28,090",""
"2003-01-01T00:00:00","Bulgaria","Number","Robbery","4,933",""
"2004-01-01T00:00:00","Bulgaria","Number","Robbery","4,131",""
"2005-01-01T00:00:00","Bulgaria","Number","Robbery","3,754",""
"2006-01-01T00:00:00","Bulgaria","Number","Robbery","2,875",""
"2007-01-01T00:00:00","Bulgaria","Number","Robbery","2,996",""
"2008-01-01T00:00:00","Bulgaria","Number","Robbery","2,868",""
"2009-01-01T00:00:00","Bulgaria","Number","Robbery","3,596",""
"2010-01-01T00:00:00","Bulgaria","Number","Robbery","3,737",""
"2011-01-01T00:00:00","Bulgaria","Number","Robbery","3,110",""
"2012-01-01T00:00:00","Bulgaria","Number","Robbery","2,955",""
"2003-01-01T00:00:00","Czech Republic","Number","Robbery","5,443",""
"2004-01-01T00:00:00","Czech Republic","Number","Robbery","5,931",""
"2005-01-01T00:00:00","Czech Republic","Number","Robbery","5,368",""
"2006-01-01T00:00:00","Czech Republic","Number","Robbery","4,613",""
"2007-01-01T00:00:00","Czech Republic","Number","Robbery","4,668",""
"2008-01-01T00:00:00","Czech Republic","Number","Robbery","4,515",""
"2009-01-01T00:00:00","Czech Republic","Number","Robbery","4,515",""
"2010-01-01T00:00:00","Czech Republic","Number","Robbery","3,874",""
"2011-01-01T00:00:00","Czech Republic","Number","Robbery","3,761",""
"2012-01-01T00:00:00","Czech Republic","Number","Robbery","3,283",""
"2003-01-01T00:00:00","Denmark","Number","Robbery","5,884",""
"2004-01-01T00:00:00","Denmark","Number","Robbery","5,733",""
"2005-01-01T00:00:00","Denmark","Number","Robbery","5,199",""
"2006-01-01T00:00:00","Denmark","Number","Robbery","5,048",""
"2007-01-01T00:00:00","Denmark","Number","Robbery","5,784",""
"2008-01-01T00:00:00","Denmark","Number","Robbery","10,747",""
"2009-01-01T00:00:00","Denmark","Number","Robbery","12,738",""
"2010-01-01T00:00:00","Denmark","Number","Robbery","12,802",""
"2011-01-01T00:00:00","Denmark","Number","Robbery","13,070",""
"2012-01-01T00:00:00","Denmark","Number","Robbery","12,709",""
"2003-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","59,782",""
"2004-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","59,732",""
"2005-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","54,841",""
"2006-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","53,696",""
"2007-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","52,949",""
"2008-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","49,913",""
"2009-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","49,317",""
"2010-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","48,166",""
"2011-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","48,021",""
"2012-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Robbery","48,711",""
"2003-01-01T00:00:00","Estonia","Number","Robbery","1,885",""
"2004-01-01T00:00:00","Estonia","Number","Robbery","1,632",""
"2005-01-01T00:00:00","Estonia","Number","Robbery","1,298",""
"2006-01-01T00:00:00","Estonia","Number","Robbery","1,005",""
"2007-01-01T00:00:00","Estonia","Number","Robbery","887",""
"2008-01-01T00:00:00","Estonia","Number","Robbery","909",""
"2009-01-01T00:00:00","Estonia","Number","Robbery","726",""
"2010-01-01T00:00:00","Estonia","Number","Robbery","599",""
"2011-01-01T00:00:00","Estonia","Number","Robbery","525",""
"2012-01-01T00:00:00","Estonia","Number","Robbery","457",""
"2003-01-01T00:00:00","Ireland","Number","Robbery","2,894",""
"2004-01-01T00:00:00","Ireland","Number","Robbery","2,702",""
"2005-01-01T00:00:00","Ireland","Number","Robbery","2,406",""
"2006-01-01T00:00:00","Ireland","Number","Robbery","2,475",""
"2007-01-01T00:00:00","Ireland","Number","Robbery","2,151",""
"2008-01-01T00:00:00","Ireland","Number","Robbery","2,277",""
"2009-01-01T00:00:00","Ireland","Number","Robbery","2,468",""
"2010-01-01T00:00:00","Ireland","Number","Robbery","3,173",""
"2011-01-01T00:00:00","Ireland","Number","Robbery","2,908",""
"2012-01-01T00:00:00","Ireland","Number","Robbery","2,779",""
"2003-01-01T00:00:00","Greece","Number","Robbery","2,083",""
"2004-01-01T00:00:00","Greece","Number","Robbery","2,339",""
"2005-01-01T00:00:00","Greece","Number","Robbery","2,084",""
"2006-01-01T00:00:00","Greece","Number","Robbery","2,463",""
"2007-01-01T00:00:00","Greece","Number","Robbery","2,823",""
"2008-01-01T00:00:00","Greece","Number","Robbery","3,293",""
"2009-01-01T00:00:00","Greece","Number","Robbery","4,715",""
"2010-01-01T00:00:00","Greece","Number","Robbery","6,079",""
"2011-01-01T00:00:00","Greece","Number","Robbery","6,636",""
"2012-01-01T00:00:00","Greece","Number","Robbery","5,992",""
"2003-01-01T00:00:00","Spain","Number","Robbery","92,980",""
"2004-01-01T00:00:00","Spain","Number","Robbery","88,413",""
"2005-01-01T00:00:00","Spain","Number","Robbery","90,104",""
"2006-01-01T00:00:00","Spain","Number","Robbery","90,591",""
"2007-01-01T00:00:00","Spain","Number","Robbery","89,884",""
"2008-01-01T00:00:00","Spain","Number","Robbery","92,832",""
"2009-01-01T00:00:00","Spain","Number","Robbery","90,407",""
"2010-01-01T00:00:00","Spain","Number","Robbery","84,411",""
"2011-01-01T00:00:00","Spain","Number","Robbery","87,718",""
"2012-01-01T00:00:00","Spain","Number","Robbery","96,607",""
"2003-01-01T00:00:00","France","Number","Robbery","125,286",""
"2004-01-01T00:00:00","France","Number","Robbery","119,641",""
"2005-01-01T00:00:00","France","Number","Robbery","124,600",""
"2006-01-01T00:00:00","France","Number","Robbery","127,190",""
"2007-01-01T00:00:00","France","Number","Robbery","112,885",""
"2008-01-01T00:00:00","France","Number","Robbery","106,633",""
"2009-01-01T00:00:00","France","Number","Robbery","112,765",""
"2010-01-01T00:00:00","France","Number","Robbery","121,038",""
"2011-01-01T00:00:00","France","Number","Robbery","120,966",""
"2012-01-01T00:00:00","France","Number","Robbery","113,327",""
"2003-01-01T00:00:00","France (metropolitan)","Number","Robbery","125,286",""
"2004-01-01T00:00:00","France (metropolitan)","Number","Robbery","119,641",""
"2005-01-01T00:00:00","France (metropolitan)","Number","Robbery","124,600",""
"2006-01-01T00:00:00","France (metropolitan)","Number","Robbery","127,190",""
"2007-01-01T00:00:00","France (metropolitan)","Number","Robbery","112,885",""
"2008-01-01T00:00:00","France (metropolitan)","Number","Robbery","106,633",""
"2009-01-01T00:00:00","France (metropolitan)","Number","Robbery","112,765",""
"2010-01-01T00:00:00","France (metropolitan)","Number","Robbery",":",""
"2011-01-01T00:00:00","France (metropolitan)","Number","Robbery",":",""
"2012-01-01T00:00:00","France (metropolitan)","Number","Robbery",":",""
"2003-01-01T00:00:00","Croatia","Number","Robbery","1,236",""
"2004-01-01T00:00:00","Croatia","Number","Robbery","1,622",""
"2005-01-01T00:00:00","Croatia","Number","Robbery","1,560",""
"2006-01-01T00:00:00","Croatia","Number","Robbery","1,445",""
"2007-01-01T00:00:00","Croatia","Number","Robbery","1,272",""
"2008-01-01T00:00:00","Croatia","Number","Robbery","1,259",""
"2009-01-01T00:00:00","Croatia","Number","Robbery","1,411",""
"2010-01-01T00:00:00","Croatia","Number","Robbery","1,245",""
"2011-01-01T00:00:00","Croatia","Number","Robbery","1,382",""
"2012-01-01T00:00:00","Croatia","Number","Robbery","1,588",""
"2003-01-01T00:00:00","Italy","Number","Robbery","70,625",""
"2004-01-01T00:00:00","Italy","Number","Robbery","66,643",""
"2005-01-01T00:00:00","Italy","Number","Robbery","65,724",""
"2006-01-01T00:00:00","Italy","Number","Robbery","71,762",""
"2007-01-01T00:00:00","Italy","Number","Robbery","74,130",""
"2008-01-01T00:00:00","Italy","Number","Robbery","64,535",""
"2009-01-01T00:00:00","Italy","Number","Robbery","50,732",""
"2010-01-01T00:00:00","Italy","Number","Robbery","47,996",""
"2011-01-01T00:00:00","Italy","Number","Robbery","58,206",""
"2012-01-01T00:00:00","Italy","Number","Robbery","62,641",""
"2003-01-01T00:00:00","Cyprus","Number","Robbery","66",""
"2004-01-01T00:00:00","Cyprus","Number","Robbery","100",""
"2005-01-01T00:00:00","Cyprus","Number","Robbery","73",""
"2006-01-01T00:00:00","Cyprus","Number","Robbery","66",""
"2007-01-01T00:00:00","Cyprus","Number","Robbery","69",""
"2008-01-01T00:00:00","Cyprus","Number","Robbery","62",""
"2009-01-01T00:00:00","Cyprus","Number","Robbery","111",""
"2010-01-01T00:00:00","Cyprus","Number","Robbery","138",""
"2011-01-01T00:00:00","Cyprus","Number","Robbery","137",""
"2012-01-01T00:00:00","Cyprus","Number","Robbery","173",""
"2003-01-01T00:00:00","Latvia","Number","Robbery","2,503",""
"2004-01-01T00:00:00","Latvia","Number","Robbery","2,467",""
"2005-01-01T00:00:00","Latvia","Number","Robbery","2,163",""
"2006-01-01T00:00:00","Latvia","Number","Robbery","2,248",""
"2007-01-01T00:00:00","Latvia","Number","Robbery","1,468",""
"2008-01-01T00:00:00","Latvia","Number","Robbery","1,441",""
"2009-01-01T00:00:00","Latvia","Number","Robbery","1,516",""
"2010-01-01T00:00:00","Latvia","Number","Robbery","1,072",""
"2011-01-01T00:00:00","Latvia","Number","Robbery","1,061",""
"2012-01-01T00:00:00","Latvia","Number","Robbery","964",""
"2003-01-01T00:00:00","Lithuania","Number","Robbery","4,919",""
"2004-01-01T00:00:00","Lithuania","Number","Robbery","5,323",""
"2005-01-01T00:00:00","Lithuania","Number","Robbery","5,206",""
"2006-01-01T00:00:00","Lithuania","Number","Robbery","4,343",""
"2007-01-01T00:00:00","Lithuania","Number","Robbery","3,802",""
"2008-01-01T00:00:00","Lithuania","Number","Robbery","3,452",""
"2009-01-01T00:00:00","Lithuania","Number","Robbery","3,363",""
"2010-01-01T00:00:00","Lithuania","Number","Robbery","2,727",""
"2011-01-01T00:00:00","Lithuania","Number","Robbery","2,502",""
"2012-01-01T00:00:00","Lithuania","Number","Robbery","1,923",""
"2003-01-01T00:00:00","Luxembourg","Number","Robbery","374",""
"2004-01-01T00:00:00","Luxembourg","Number","Robbery","339",""
"2005-01-01T00:00:00","Luxembourg","Number","Robbery","351",""
"2006-01-01T00:00:00","Luxembourg","Number","Robbery","263",""
"2007-01-01T00:00:00","Luxembourg","Number","Robbery","331",""
"2008-01-01T00:00:00","Luxembourg","Number","Robbery","260",""
"2009-01-01T00:00:00","Luxembourg","Number","Robbery","365",""
"2010-01-01T00:00:00","Luxembourg","Number","Robbery","316",""
"2011-01-01T00:00:00","Luxembourg","Number","Robbery","356",""
"2012-01-01T00:00:00","Luxembourg","Number","Robbery","457",""
"2003-01-01T00:00:00","Hungary","Number","Robbery","3,289",""
