sourcetype,city,value,country
"simS3seriesNighttimeLightsGlob/brightness",Aabenraa,"10.060000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Aalborg,"17.640000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Aalst,"49.250000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Aars,"7.366000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Aarschot,"43.108000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Aberdeen,"19.698000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness",Agros,"8.832000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Akaki,"16.230000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Akhyritou,"17.094000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Akrotiri,"12.630000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Alambra,"24.136000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Albertslund,"37.386000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Alethriko,"18.376000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Alkmaar,"26.042000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Almelo,"23.252000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness","Almere Stad","24.420000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness","Alphen aan den Rijn","48.524000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Altmunster,"11.922000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Amersfoort,"35.628000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Amstelveen,"49.182000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Amsterdam,"43.238000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness","Amsterdam-Zuidoost","40.718000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Amstetten,"10.474000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Anaphotia,"16.320000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Andenne,"24.064000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Ans,"42.960000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Ansfelden,"22.204000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Antwerp,"51.742000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Apeldoorn,"20.046000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Aradhiou,"20.866000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Aradhippou,"19.680000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Argaka,"2.266000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Arhus,"20.624000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Arlon,"21.922000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Arnhem,"30.646000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Asenovgrad,"13.194000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Asse,"54.348000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Assen,"16.434000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Astromeritis,"9.514000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Ath,"29.470000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Athienou,"21.812000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Athna,"16.668000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Avgorou,"17.030000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness","Ayia Napa","11.410000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness","Ayios Tykhonas","13.388000",Cyprus
"simS3seriesNighttimeLightsGlob/brightness",Aytos,"4.928000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness","Bad Ischl","6.896000",Austria
"simS3seriesNighttimeLightsGlob/brightness","Bad Voslau","25.594000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Baden,"31.094000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Balchik,"3.966000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Ballerup,"39.670000",Denmark
"simS3seriesNighttimeLightsGlob/brightness",Bansko,"3.060000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Basildon,"41.024000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness",Basingstoke,"22.722000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness",Bath,"27.664000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness",Bedekovcina,"17.674000",Croatia
"simS3seriesNighttimeLightsGlob/brightness",Bedford,"23.040000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness",Beersel,"50.892000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Belene,"3.464000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Belfast,"31.232000","United Kingdom"
"simS3seriesNighttimeLightsGlob/brightness","Beli Manastir","6.278000",Croatia
"simS3seriesNighttimeLightsGlob/brightness",Belisce,"7.574000",Croatia
"simS3seriesNighttimeLightsGlob/brightness",Beloslav,"10.272000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Benesov,"13.870000","Czech Republic"
"simS3seriesNighttimeLightsGlob/brightness","Bergen op Zoom","24.178000",Netherlands
"simS3seriesNighttimeLightsGlob/brightness",Beringen,"39.336000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Berkovitsa,"1.940000",Bulgaria
"simS3seriesNighttimeLightsGlob/brightness",Berndorf,"20.386000",Austria
"simS3seriesNighttimeLightsGlob/brightness",Beroun,"16.916000","Czech Republic"
"simS3seriesNighttimeLightsGlob/brightness",Beveren,"47.550000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Bibinje,"13.552000",Croatia
"simS3seriesNighttimeLightsGlob/brightness",Bilina,"18.500000","Czech Republic"
"simS3seriesNighttimeLightsGlob/brightness","Bilina Kyselka","18.614000","Czech Republic"
"simS3seriesNighttimeLightsGlob/brightness",Bilzen,"41.420000",Belgium
"simS3seriesNighttimeLightsGlob/brightness",Binche,"32.540000",Belgium
"simS3seriesNighttimeLightsGlob/brightness","Biograd na Moru","9.514000",Croatia
