city,country,value
Aabenraa,Denmark,"0.132293"
Aalborg,Denmark,"0.135966"
Aalst,Belgium,"0.176506"
Aars,Denmark,"0.164626"
Aarschot,Belgium,"0.198533"
Aberdeen,"United Kingdom","0.135347"
Agros,Cyprus,"0.109733"
Akaki,Cyprus,"0.117806"
Akhyritou,Cyprus,"0.082993"
Akrotiri,Cyprus,"0.050687"
Alambra,Cyprus,"0.113867"
Albertslund,Denmark,"0.062427"
Alethriko,Cyprus,"0.083860"
Alkmaar,Netherlands,"0.123026"
Almelo,Netherlands,"0.160000"
"Almere Stad",Netherlands,"0.081853"
"Alphen aan den Rijn",Netherlands,"0.141480"
Altmunster,Austria,"0.196920"
Amersfoort,Netherlands,"0.175520"
Amstelveen,Netherlands,"0.137240"
Amsterdam,Netherlands,"0.139606"
"Amsterdam-Zuidoost",Netherlands,"0.118187"
Amstetten,Austria,"0.192126"
Anaphotia,Cyprus,"0.085847"
Andenne,Belgium,"0.135933"
Ans,Belgium,"0.175846"
Ansfelden,Austria,"0.132006"
Antwerp,Belgium,"0.127813"
Apeldoorn,Netherlands,"0.170873"
Aradhiou,Cyprus,"0.104493"
Aradhippou,Cyprus,"0.106893"
Argaka,Cyprus,"0.077820"
Arhus,Denmark,"0.106520"
Arlon,Belgium,"0.142666"
Arnhem,Netherlands,"0.158920"
Asenovgrad,Bulgaria,"0.058680"
Asse,Belgium,"0.139706"
Assen,Netherlands,"0.209920"
Astromeritis,Cyprus,"0.117480"
Ath,Belgium,"0.182226"
Athienou,Cyprus,"0.121006"
Athna,Cyprus,"0.101646"
Avgorou,Cyprus,"0.081140"
"Ayia Napa",Cyprus,"0.033400"
"Ayios Tykhonas",Cyprus,"0.065860"
Aytos,Bulgaria,"0.070953"
"Bad Ischl",Austria,"0.163273"
"Bad Voslau",Austria,"0.176080"
Baden,Austria,"0.148586"
Balchik,Bulgaria,"0.040773"
Ballerup,Denmark,"0.081687"
Bansko,Bulgaria,"0.132273"
Basildon,"United Kingdom","0.225453"
Basingstoke,"United Kingdom","0.344073"
