city,country,value
Aabenraa,Denmark,"0.012667"
Aalborg,Denmark,"0.034667"
Aalst,Belgium,"0.044667"
Aars,Denmark,"0.004667"
Aarschot,Belgium,"0.047333"
Aberdeen,"United Kingdom","0.050000"
Agros,Cyprus,"0.028667"
Akaki,Cyprus,"0.072667"
Akhyritou,Cyprus,"0.062000"
Akrotiri,Cyprus,"0.046000"
Alambra,Cyprus,"0.150667"
Albertslund,Denmark,"0.227333"
Alethriko,Cyprus,"0.087333"
Alkmaar,Netherlands,"0.074667"
Almelo,Netherlands,"0.074000"
"Almere Stad",Netherlands,"0.032667"
"Alphen aan den Rijn",Netherlands,"0.193333"
Altmunster,Austria,"0.002667"
Amersfoort,Netherlands,"0.073333"
Amstelveen,Netherlands,"0.210667"
Amsterdam,Netherlands,"0.189333"
"Amsterdam-Zuidoost",Netherlands,"0.188000"
Amstetten,Austria,"0.006667"
Anaphotia,Cyprus,"0.062667"
Andenne,Belgium,"0.015333"
Ans,Belgium,"0.112000"
Ansfelden,Austria,"0.031333"
Antwerp,Belgium,"0.200000"
Apeldoorn,Netherlands,"0.037333"
Aradhiou,Cyprus,"0.130667"
Aradhippou,Cyprus,"0.105333"
Argaka,Cyprus,"0.014667"
Arhus,Denmark,"0.037333"
Arlon,Belgium,"0.011333"
Arnhem,Netherlands,"0.067333"
Asenovgrad,Bulgaria,"0.114667"
Asse,Belgium,"0.157333"
Assen,Netherlands,"0.023333"
Astromeritis,Cyprus,"0.045333"
Ath,Belgium,"0.032000"
Athienou,Cyprus,"0.140667"
Athna,Cyprus,"0.087333"
Avgorou,Cyprus,"0.066000"
"Ayia Napa",Cyprus,"0.030000"
"Ayios Tykhonas",Cyprus,"0.051333"
Aytos,Bulgaria,"0.035333"
"Bad Ischl",Austria,"0.003333"
"Bad Voslau",Austria,"0.071333"
Baden,Austria,"0.104000"
Balchik,Bulgaria,"0.002667"
Ballerup,Denmark,"0.201333"
Bansko,Bulgaria,"0.016667"
Basildon,"United Kingdom","0.170000"
Basingstoke,"United Kingdom","0.090000"
Bath,"United Kingdom","0.088667"
Bedekovcina,Croatia,"0.001333"
Bedford,"United Kingdom","0.066667"
Beersel,Belgium,"0.160667"
Belene,Bulgaria,"0.000000"
Belfast,"United Kingdom","0.104667"
"Beli Manastir",Croatia,"0.002000"
Belisce,Croatia,"0.000000"
Beloslav,Bulgaria,"0.020000"
Benesov,"Czech Republic","0.006000"
"Bergen op Zoom",Netherlands,"0.061333"
Beringen,Belgium,"0.078000"
Berkovitsa,Bulgaria,"0.001333"
Berndorf,Austria,"0.035333"
Beroun,"Czech Republic","0.017333"
Beveren,Belgium,"0.204667"
Bibinje,Croatia,"0.004667"
Bilina,"Czech Republic","0.043333"
"Bilina Kyselka","Czech Republic","0.042667"
Bilzen,Belgium,"0.059333"
Binche,Belgium,"0.058667"
"Biograd na Moru",Croatia,"0.004000"
Birkenhead,"United Kingdom","0.222667"
Birkerod,Denmark,"0.133333"
Birmingham,"United Kingdom","0.443333"
Bischofshofen,Austria,"0.004667"
Bjelovar,Croatia,"0.005333"
Bjerringbro,Denmark,"0.004667"
Blackburn,"United Kingdom","0.098000"
Blackpool,"United Kingdom","0.030000"
Blagoevgrad,Bulgaria,"0.012000"
Blansko,"Czech Republic","0.014667"
Blato,Croatia,"0.000000"
Bludenz,Austria,"0.004667"
Bohumin,"Czech Republic","0.111333"
Bolton,"United Kingdom","0.270667"
Born,Netherlands,"0.079333"
Borovo,Croatia,"0.004667"
Bosnjaci,Croatia,"0.000000"
Botevgrad,Bulgaria,"0.000000"
Bournemouth,"United Kingdom","0.120667"
Bradford,"United Kingdom","0.236000"
"Brandys nad Labem-Stara Boleslav","Czech Republic","0.060000"
Branik,"Czech Republic","0.161333"
Brasschaat,Belgium,"0.171333"
"Braunau am Inn",Austria,"0.004000"
Brecht,Belgium,"0.074667"
Breclav,"Czech Republic","0.007333"
Breda,Netherlands,"0.112667"
Bregenz,Austria,"0.014000"
Brighton,"United Kingdom","0.060000"
Bristol,"United Kingdom","0.138000"
Brno,"Czech Republic","0.042000"
Bronderslev,Denmark,"0.012000"
"Bruck an der Mur",Austria,"0.013333"
Brugge,Belgium,"0.034000"
Bruntal,"Czech Republic","0.005333"
Brussels,Belgium,"0.167333"
Burgas,Bulgaria,"0.082667"
"Byala Slatina",Bulgaria,"0.000000"
Cakovec,Croatia,"0.002667"
Cambridge,"United Kingdom","0.084000"
"Capelle-West",Netherlands,"0.268000"
Cardiff,"United Kingdom","0.159333"
Cepin,Croatia,"0.010000"
Cerna,Croatia,"0.004000"
"Cerny Most","Czech Republic","0.137333"
"Ceska Lipa","Czech Republic","0.017333"
"Ceska Trebova","Czech Republic","0.006667"
"Ceske Budejovice","Czech Republic","0.014667"
"Cesky Tesin","Czech Republic","0.041333"
Charleroi,Belgium,"0.096667"
Charlottenlund,Denmark,"0.168000"
Chatelet,Belgium,"0.106000"
Cheb,"Czech Republic","0.009333"
Chelmsford,"United Kingdom","0.088000"
Cheltenham,"United Kingdom","0.066000"
"Cherven Bryag",Bulgaria,"0.000000"
Chester,"United Kingdom","0.162000"
Chirpan,Bulgaria,"0.042667"
Chomutov,"Czech Republic","0.085333"
Chrudim,"Czech Republic","0.034000"
Colchester,"United Kingdom","0.065333"
Copenhagen,Denmark,"0.192667"
Courcelles,Belgium,"0.098000"
Coventry,"United Kingdom","0.168000"
Crawley,"United Kingdom","0.193333"
Crikvenica,Croatia,"0.009333"
Dalj,Croatia,"0.003333"
Darda,Croatia,"0.012000"
Darlington,"United Kingdom","0.063333"
Daruvar,Croatia,"0.005333"
Decin,"Czech Republic","0.023333"
Deinze,Belgium,"0.078000"
Delft,Netherlands,"0.312667"
Delnice,Croatia,"0.000000"
"Den Helder",Netherlands,"0.014667"
Dendermonde,Belgium,"0.052667"
Derby,"United Kingdom","0.120667"
Deutschlandsberg,Austria,"0.010667"
Deventer,Netherlands,"0.056000"
Devin,Bulgaria,"0.020000"
Devnya,Bulgaria,"0.026000"
Dhali,Cyprus,"0.178000"
Dherinia,Cyprus,"0.046667"
Dhromolaxia,Cyprus,"0.082000"
Diest,Belgium,"0.040667"
Dilbeek,Belgium,"0.199333"
Dimitrovgrad,Bulgaria,"0.055333"
Dobrich,Bulgaria,"0.009333"
Doetinchem,Netherlands,"0.045333"
Dordrecht,Netherlands,"0.175333"
Dornbirn,Austria,"0.019333"
Dragor,Denmark,"0.130000"
Dryanovo,Bulgaria,"0.000000"
Dubrovnik,Croatia,"0.003333"
Dudley,"United Kingdom","0.406667"
Dundee,"United Kingdom","0.048000"
Dupnitsa,Bulgaria,"0.034667"
"Dvur Kralove nad Labem","Czech Republic","0.004667"
Eastbourne,"United Kingdom","0.046000"
Ebeltoft,Denmark,"0.003333"
Ebensee,Austria,"0.006000"
Ebreichsdorf,Austria,"0.086667"
Ede,Netherlands,"0.038667"
Edegem,Belgium,"0.175333"
Edinburgh,"United Kingdom","0.111333"
Eindhoven,Netherlands,"0.110000"
Elkhovo,Bulgaria,"0.013333"
Emba,Cyprus,"0.039333"
Emmen,Netherlands,"0.024667"
Engerwitzdorf,Austria,"0.033333"
Enns,Austria,"0.024000"
Enschede,Netherlands,"0.065333"
Ergates,Cyprus,"0.117333"
Erimi,Cyprus,"0.044667"
Esbjerg,Denmark,"0.027333"
Espergaerde,Denmark,"0.043333"
Etropole,Bulgaria,"0.021333"
Evdhimou,Cyprus,"0.034667"
Evergem,Belgium,"0.098000"
Evrykhou,Cyprus,"0.025333"
Exeter,"United Kingdom","0.030667"
Faaborg,Denmark,"0.001333"
Famagusta,Cyprus,"0.048667"
Farum,Denmark,"0.137333"
Feldkirch,Austria,"0.010667"
"Feldkirchen in Karnten",Austria,"0.004667"
"Finkenstein am Faaker See",Austria,"0.020667"
"Flemalle-Haute",Belgium,"0.078667"
Fleurus,Belgium,"0.101333"
Flong,Denmark,"0.082000"
Fohnsdorf,Austria,"0.005333"
Fredensborg,Denmark,"0.012667"
Fredericia,Denmark,"0.025333"
Frederiksberg,Denmark,"0.206667"
Frederikshavn,Denmark,"0.021333"
Frederikssund,Denmark,"0.012667"
Frederiksvaerk,Denmark,"0.020000"
"Frydek-Mistek","Czech Republic","0.058333"
Gabrovo,Bulgaria,"0.011333"
Galata,Cyprus,"0.015333"
Ganserndorf,Austria,"0.004667"
Garesnica,Croatia,"0.000667"
Gateshead,"United Kingdom","0.302000"
Geel,Belgium,"0.062000"
"General-Toshevo",Bulgaria,"0.004000"
Genk,Belgium,"0.080667"
Gent,Belgium,"0.090000"
Geraardsbergen,Belgium,"0.013333"
"Gerasdorf bei Wien",Austria,"0.107333"
Gillingham,"United Kingdom","0.214667"
Glasgow,"United Kingdom","0.248000"
Glostrup,Denmark,"0.199333"
Gloucester,"United Kingdom","0.086667"
Gmunden,Austria,"0.010667"
Gospic,Croatia,"0.002000"
"Gotse Delchev",Bulgaria,"0.003333"
Gotzis,Austria,"0.014667"
Gouda,Netherlands,"0.152000"
Graz,Austria,"0.037333"
Grenaa,Denmark,"0.016000"
Greve,Denmark,"0.199333"
Grimbergen,Belgium,"0.256667"
Grindsted,Denmark,"0.000000"
