Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
1,Afghanistan,Kabul,"34.5166667","69.1833344","1808.0","34.5116667","34.521666700000004","69.17833440000001","69.1883344","34.5166667","69.1833344","1808.0"
2,Afghanistan,Kandahar,"31.6100000","65.6999969","1015.0","31.605","31.615","65.6949969","65.7049969","31.61","65.6999969","1015.0"
3,Afghanistan,"Mazar-e Sharif","36.7069444","67.1122208","369.0","36.701944399999995","36.7119444","67.10722080000001","67.1172208","36.7069444","67.1122208","369.0"
4,Afghanistan,Herat,"34.3400000","62.1899986","927.0","34.335","34.345000000000006","62.1849986","62.194998600000005","34.34","62.1899986","927.0"
5,Afghanistan,Jalalabad,"34.4200000","70.4499969","573.0","34.415","34.425000000000004","70.4449969","70.4549969","34.42","70.4499969","573.0"
6,Afghanistan,Konduz,"36.7200000","68.8600006","394.0","36.714999999999996","36.725","68.85500060000001","68.8650006","36.72","68.8600006","394.0"
7,Afghanistan,Ghazni,"33.5535554","68.4268875","2175.0","33.5485554","33.5585554","68.42188750000001","68.4318875","33.5535554","68.4268875","2175.0"
8,Afghanistan,Balkh,"36.7586111","66.8961105","328.0","36.7536111","36.763611100000006","66.89111050000001","66.9011105","36.7586111","66.8961105","328.0"
9,Afghanistan,Baghlan,"36.1200000","68.6999969","565.0","36.114999999999995","36.125","68.6949969","68.7049969","36.12","68.6999969","565.0"
10,Afghanistan,Gardez,"33.5900000","69.2200012","2279.0","33.585","33.595000000000006","69.2150012","69.2250012","33.59","69.2200012","2279.0"
11,Afghanistan,Khost,"33.3380556","69.9202805","1178.0","33.333055599999994","33.3430556","69.91528050000001","69.9252805","33.3380556","69.9202805","1178.0"
12,Afghanistan,Khanabad,"36.6800000","69.1100006","490.0","36.675","36.685","69.10500060000001","69.1150006","36.68","69.1100006","490.0"
13,Afghanistan,Tashqorghan,"36.6952778","67.6980591","460.0","36.6902778","36.7002778","67.6930591","67.70305909999999","36.6952778","67.6980591","460.0"
14,Afghanistan,Taloqan,"36.7360511","69.5345078","788.0","36.731051099999995","36.7410511","69.5295078","69.5395078","36.7360511","69.5345078","788.0"
